current_time,next_time,current_scene,current_wet_weight,next_wet_weight,target_wet_weight,required_reduction,expected_reduction,noise_scope,noise_mean,noise_std,sampled_noise,noisy_expected_reduction,predicted_next_wet_weight,noisy_predicted_next_wet_weight,actual_next_reduction,strategy_type,has_recommendation,hit_reduce_direction,hit_reduce_direction_noisy,signed_error,abs_error,noisy_signed_error,noisy_abs_error
2025-12-20 00:07:38,2025-12-20 02:21:55,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=50-60万,28.6,28.9,29.2,0.0,1.2473678729011588,scene,-0.07499999999999982,0.613086453936147,0.11181791388042259,1.3591857867815813,27.352632127098843,27.24081421321842,-0.29999999999999716,joint,1,0,0,-1.547367872901156,1.547367872901156,-1.6591857867815785,1.6591857867815785
2025-12-22 18:53:59,2025-12-22 19:44:45,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=80-90万,28.2,30.200000000000003,29.03,0.0,1.2473678729011588,scene,-0.1111111111111111,0.5989703098641584,-0.598536814308744,0.6488310585924149,26.95263212709884,27.551168941407585,-2.0000000000000036,joint,1,0,0,-3.2473678729011626,3.2473678729011626,-2.6488310585924184,2.6488310585924184
2025-12-22 19:44:45,2025-12-22 19:49:30,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=80-90万,30.200000000000003,29.8,29.1,1.1000000000000014,1.1000000000000014,scene,0.10000000000000035,0.850881895447307,0.6241257386375757,1.7241257386375772,29.1,28.475874261362424,0.40000000000000213,joint,1,1,1,-0.6999999999999993,0.6999999999999993,-1.324125738637575,1.324125738637575
2025-12-22 19:49:30,2025-12-22 21:41:23,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=80-90万,29.8,28.9,29.169999999999998,0.6300000000000026,0.6300000000000026,scene,0.054545454545454675,0.8239192771179793,0.9847274898502795,1.614727489850282,29.169999999999998,28.18527251014972,0.9000000000000021,joint,1,1,1,0.2699999999999996,0.2699999999999996,-0.7147274898502798,0.7147274898502798
2025-12-22 21:41:23,2025-12-22 23:49:40,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=80-90万,28.9,29.4,29.04,0.0,1.2473678729011588,scene,-0.02500000000000006,0.8317902379807076,-0.1197803829200452,1.1275874899811136,27.65263212709884,27.772412510018885,-0.5,joint,1,0,0,-1.7473678729011588,1.7473678729011588,-1.6275874899811136,1.6275874899811136
2025-12-22 23:49:40,2025-12-23 01:36:11,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,29.4,29.2,29.4,0.0,1.2473678729011588,global,-0.0006342494714587753,0.6627985540939293,-0.557488747614872,0.6898791252862868,28.15263212709884,28.710120874713713,0.1999999999999993,joint,1,1,1,-1.0473678729011595,1.0473678729011595,-0.4898791252862875,0.4898791252862875
2025-12-23 01:36:11,2025-12-23 03:35:58,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,29.2,29.5,29.27,0.0,1.2473678729011588,global,-0.0008447729672650483,0.6624801598365098,-0.5470472205205973,0.7003206523805615,27.95263212709884,28.499679347619438,-0.3000000000000007,joint,1,0,0,-1.5473678729011595,1.5473678729011595,-1.0003206523805623,1.0003206523805623
2025-12-23 03:35:58,2025-12-23 05:55:28,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,29.5,28.400000000000002,29.34,0.16000000000000014,0.6236839364505794,global,-0.0005274261603375527,0.6622026729404628,0.4302968569329668,1.053980793383546,28.87631606354942,28.446019206616455,1.0999999999999979,joint,1,1,1,0.47631606354941847,0.47631606354941847,0.04601920661645176,0.04601920661645176
2025-12-23 05:55:28,2025-12-23 06:15:28,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,28.400000000000002,29.3,29.21,0.0,1.2473678729011588,global,-0.001685985247629081,0.6628142751591076,0.4909534894975638,1.7383213623987226,27.152632127098844,26.66167863760128,-0.8999999999999986,joint,1,0,0,-2.1473678729011576,2.1473678729011576,-2.638321362398721,2.638321362398721
2025-12-23 06:15:28,2025-12-23 08:34:48,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,29.3,30.0,29.24,0.060000000000002274,0.6236839364505794,global,-0.0007368421052631572,0.6631102823342405,0.35943433810164255,0.983118274552222,28.67631606354942,28.31688172544778,-0.6999999999999993,joint,1,0,0,-1.3236839364505788,1.3236839364505788,-1.6831182745522213,1.6831182745522213
2025-12-23 08:34:48,2025-12-23 10:09:25,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=90-100万,30.0,29.4,29.275,0.7250000000000014,0.7250000000000014,global,0.0,0.6631505594988346,-0.44133313474040325,0.28366686525959817,29.275,29.716333134740402,0.6000000000000014,joint,1,1,1,-0.125,0.125,0.31633313474040325,0.31633313474040325
